,url,year,imdb_link,title,Directed by,Produced by,Starring,Music by,Cinematography,Edited by,Distributed by,Release date,Running time,Country,Language
1581,https://en.wikipedia.org/wiki/Deadly_Outbreak,-0.9373941810784994,https://www.imdb.com/title/tt0112828/,Deadly Outbreak,Rick Avery,,"['Jeff Speakman', 'Ron Silver', 'Rochelle Swanson', 'Jack Adalist', 'Jonathan Sagall', 'Idan Alterman']",,,Alain Jakubowicz,"['Nu Image', 'Films']","September 17, 1996 (US home video)",88 minutes,,English
1582,https://en.wikipedia.org/wiki/Dear_Diary_(1996_film),-0.9373941810784994,https://www.imdb.com/title/tt0116058/,Dear Diary,David Frankel,Barry Jossen,"['Bruce Altman', 'Cheryl Freeman']",,Maryse Alberti,Michael Berenbaum,DreamWorks Television,"['December 13, 1996', '(', '1996-12-13', ')']",22 minutes,United States,English
1583,https://en.wikipedia.org/wiki/Dear_God_(film),-0.9373941810784994,https://www.imdb.com/title/tt0116059/,Dear God,Garry Marshall,Mario Iscovich,"['Greg Kinnear', 'Laurie Metcalf', 'Maria Pitillo', 'Tim Conway', 'Roscoe Lee Browne', 'Jon Seda', 'Hector Elizondo']","['James Patrick Dunne', 'Jeremy Lubbock']",Charles Minsky,Debra Neil-Fisher,Paramount Pictures,"November 1, 1996",112 minutes,United States,English
1584,https://en.wikipedia.org/wiki/Death_and_the_Compass_(film),-0.9373941810784994,https://www.imdb.com/title/tt0116061/,Death and the Compass,Alex Cox,"['Karl Braun', ""Lorenzo O'Brien""]","['Peter Boyle', 'Miguel Sandoval', 'Christopher Eccleston']",Pray for Rain,Miguel Garzón,Carlos Puente,,"['August 5, 1992', '(', '1992-08-05', ')']",96 min.,United States,English
1585,https://en.wikipedia.org/wiki/Demolition_High,-0.9373941810784994,https://www.imdb.com/title/tt0116072/,Demolition High,Jim Wynorski,"['Angela Baynes', 'Executive producers:', 'Corey Haim', 'Paul Hertzberg']","['Corey Haim', 'Alan Thicke', 'Dick Van Patten', 'Jeff Kober', 'Melissa Brasselle']",Kevin Kiner,Zoran Hochstätter,Richard Gentner,,"['February 1996', '(American Film Market)']",84 minutes,United States,English
1586,https://en.wikipedia.org/wiki/Denise_Calls_Up,-0.9373941810784994,https://www.imdb.com/title/tt0112844/,Denise Calls Up,Hal Salwen,J. Todd Harris,"['Tim Daly', 'Caroleen Feeney', 'Dan Gunther', 'Dana Wheeler-Nicholson', 'Liev Schreiber', 'Aida Turturro', 'Alanna Ubach', 'Jean La Marre', 'Mark Blum', 'Sylvia Miles']",,,,"['Davis Entertainment', 'Sony Pictures Classics']","['March 29, 1996', '(', '1996-03-29', ')', '(U.S.)']",80 minutes,,English
1587,https://en.wikipedia.org/wiki/The_Dentist,-0.9373941810784994,https://www.imdb.com/title/tt0116075/,The Dentist,Brian Yuzna,Pierre David,"['Corbin Bernsen', 'Linda Hoffman']",Alan Howarth,Levie Isaacks,,Trimark Pictures,"['October 18, 1996', '(', '1996-10-18', ')']",92 minutes,United States,English
1588,https://en.wikipedia.org/wiki/Diabolique_(1996_film),-0.9373941810784994,https://www.imdb.com/title/tt0116095/,Diabolique,Jeremiah Chechik,"['James G. Robinson', 'Marvin Worth']","['Sharon Stone', 'Isabelle Adjani', 'Chazz Palminteri', 'Kathy Bates', 'Spalding Gray', 'Allen Garfield', 'Adam Hann-Byrd']","['Randy Edelman', 'Jeremy Sweet']",Peter James,Carol Littleton,Warner Bros.,"['March 22, 1996', '(', '1996-03-22', ')']",107 minutes,United States,English
1589,https://en.wikipedia.org/wiki/Diary_of_a_Camper,-0.9373941810784994,,Diary of a Camper,Matthew Van Sickler,,,,,Eric Fowler,,,1 minute and 36 seconds,,
1590,https://en.wikipedia.org/wiki/Don%27t_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood,-0.9373941810784994,https://www.imdb.com/title/tt0116126/,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Paris Barclay,"['Keenen Ivory Wayans', 'Eric L. Gold']","['Shawn Wayans', 'Marlon Wayans', 'Bernie Mac', 'Suli McCullough', 'Helen Martin', 'Chris Spencer', 'Antonio Fargas', 'Vivica A. Fox', 'Keenen Ivory Wayans', 'LaWanda Page']",John Barnes,Russ Brandt,"['Marshall Harvey', 'William Young']",Miramax Films,"['January 12, 1996', '(', '1996-01-12', ')']","['89 minutes', '94 minutes', '(Unrated)']",United States,English
